  V_VI                 , V(C1:1)              
  4.500000000000e-001  ,2.959980021393e+000  
  4.600000000000e-001  ,2.957999140953e+000  
  4.700000000000e-001  ,2.955960520327e+000  
  4.800000000000e-001  ,2.953863316568e+000  
  4.900000000000e-001  ,2.951706666015e+000  
  5.000000000000e-001  ,2.949489683579e+000  
  5.100000000000e-001  ,2.947211461984e+000  
  5.200000000000e-001  ,2.944871070986e+000  
  5.300000000000e-001  ,2.942467556548e+000  
  5.400000000000e-001  ,2.939999939980e+000  
  5.500000000000e-001  ,2.937467217035e+000  
  5.600000000000e-001  ,2.934868356972e+000  
  5.700000000000e-001  ,2.932202302514e+000  
  5.800000000000e-001  ,2.929467964038e+000  
  5.900000000000e-001  ,2.926664228042e+000  
  6.000000000000e-001  ,2.923789947652e+000  
  6.100000000000e-001  ,2.920843940162e+000  
  6.200000000000e-001  ,2.917824996904e+000  
  6.300000000000e-001  ,2.914731870906e+000  
  6.400000000000e-001  ,2.911563276172e+000  
  6.500000000000e-001  ,2.908317895769e+000  
  6.600000000000e-001  ,2.904994371339e+000  
  6.700000000000e-001  ,2.901591297630e+000  
  6.800000000000e-001  ,2.898107238271e+000  
  6.900000000000e-001  ,2.894540706102e+000  
  7.000000000000e-001  ,2.890890166532e+000  
  7.100000000000e-001  ,2.887154042124e+000  
  7.200000000000e-001  ,2.883330701331e+000  
  7.300000000000e-001  ,2.879418462820e+000  
  7.400000000000e-001  ,2.875415585995e+000  
  7.500000000000e-001  ,2.871320279093e+000  
  7.600000000000e-001  ,2.867130685688e+000  
  7.700000000000e-001  ,2.862844889649e+000  
  7.800000000000e-001  ,2.858460903723e+000  
  7.900000000000e-001  ,2.853976678697e+000  
  8.000000000000e-001  ,2.849390087348e+000  
  8.100000000000e-001  ,2.844698930155e+000  
  8.200000000000e-001  ,2.839900921337e+000  
  8.300000000000e-001  ,2.834993699322e+000  
  8.400000000000e-001  ,2.829974807379e+000  
  8.500000000000e-001  ,2.824841700263e+000  
  8.600000000000e-001  ,2.819591726886e+000  
  8.700000000000e-001  ,2.814222142374e+000  
  8.800000000000e-001  ,2.808730084344e+000  
  8.900000000000e-001  ,2.803112580688e+000  
  9.000000000000e-001  ,2.797366527724e+000  
  9.100000000000e-001  ,2.791488704196e+000  
  9.200000000000e-001  ,2.785475741709e+000  
  9.300000000000e-001  ,2.779324133931e+000  
  9.400000000000e-001  ,2.773030208533e+000  
  9.500000000000e-001  ,2.766590143587e+000  
  9.600000000000e-001  ,2.759999930000e+000  
  9.700000000000e-001  ,2.753255382468e+000  
  9.800000000000e-001  ,2.746352102705e+000  
  9.900000000000e-001  ,2.739285498803e+000  
  1.000000000000e+000  ,2.732050736436e+000  
  1.010000000000e+000  ,2.724642751966e+000  
  1.020000000000e+000  ,2.717056203132e+000  
  1.030000000000e+000  ,2.709285492066e+000  
  1.040000000000e+000  ,2.701324700272e+000  
  1.050000000000e+000  ,2.693167604338e+000  
  1.060000000000e+000  ,2.684807608007e+000  
  1.070000000000e+000  ,2.676237769669e+000  
  1.080000000000e+000  ,2.667450713096e+000  
